price,address,suburb,bedrooms,bathrooms,parking,property_type,link,price_numeric
Contact Agent,"704/465 Chapel Rd, BANKSTOWN NSW 2200",BANKSTOWN,2,1,1,Apartment / Unit / Flat,https://www.domain.com.au/704-465-chapel-rd-bankstown-nsw-2200-2019819086,
Contact Agent,"414/38 Kitchener Pde, BANKSTOWN NSW 2200",BANKSTOWN,1,1,0,Apartment / Unit / Flat,https://www.domain.com.au/414-38-kitchener-pde-bankstown-nsw-2200-2019598020,
"$559,000","216/21 Meredith Street, BANKSTOWN NSW 2200",BANKSTOWN,1,1,0,Apartment / Unit / Flat,https://www.domain.com.au/216-21-meredith-street-bankstown-nsw-2200-2019437945,559000.0
"$380,000","E120/351 Hume Highway, BANKSTOWN NSW 2200",BANKSTOWN,1,1,1,Apartment / Unit / Flat,https://www.domain.com.au/e120-351-hume-highway-bankstown-nsw-2200-2019387801,380000.0
New to Market,"909/196 Stacey Street, BANKSTOWN NSW 2200",BANKSTOWN,2,2,1,Apartment / Unit / Flat,https://www.domain.com.au/909-196-stacey-street-bankstown-nsw-2200-2019275704,
Contact Agent,"204/38 Kitchener Parade, BANKSTOWN NSW 2200",BANKSTOWN,1,1,0,Apartment / Unit / Flat,https://www.domain.com.au/204-38-kitchener-parade-bankstown-nsw-2200-2019157197,
"From $579,000",BANKSTOWN NSW 2200,BANKSTOWN,2,2,2,New apartments / off the plan,https://www.domain.com.au/bankstown-nsw-2200-2017954044,579000000000.0
"From $450,000",BANKSTOWN NSW 2200,BANKSTOWN,1,1,1,New apartments / off the plan,https://www.domain.com.au/bankstown-nsw-2200-2017733280,450000000000.0
Under offer,"32-34 Leonard Street, BANKSTOWN NSW 2200",BANKSTOWN,2,2,1,House,https://www.domain.com.au/32-34-leonard-street-bankstown-nsw-2200-2017878506,
Contact Agent,"19 Meredith Street, BANKSTOWN NSW 2200",BANKSTOWN,2,2,1,Apartment / Unit / Flat,https://www.domain.com.au/19-meredith-street-bankstown-nsw-2200-2019364101,
"For Sale $1,549,000","17a Edinburgh Drive, REVESBY HEIGHTS NSW 2212",REVESBY HEIGHTS,4,2,1,House,https://www.domain.com.au/17a-edinburgh-drive-revesby-heights-nsw-2212-2020122039,1549000.0
Auction on-site 2nd August at 1:30pm,"29 Kelly Street, PUNCHBOWL NSW 2196",PUNCHBOWL,3,1,3,House,https://www.domain.com.au/29-kelly-street-punchbowl-nsw-2196-2020121972,
AUCTION,"1/149 Auburn Road, YAGOONA NSW 2199",YAGOONA,2,1,1,Townhouse,https://www.domain.com.au/1-149-auburn-road-yagoona-nsw-2199-2020120405,
Contact Agent,"29A Napoli Street, PADSTOWN NSW 2211",PADSTOW,5,3,2,Semi-detached,https://www.domain.com.au/29a-napoli-street-padstow-nsw-2211-2020120364,
AUCTION,"232 Auburn Road, YAGOONA NSW 2199",YAGOONA,6,3,2,House,https://www.domain.com.au/232-auburn-road-yagoona-nsw-2199-2020119956,
Expression of Interest,"13,15 & 17 Segers Avenue, PADSTOW NSW 2211",PADSTOW,11,3,0,House,https://www.domain.com.au/13-15-17-segers-avenue-padstow-nsw-2211-2020118776,
Price on request,"34/203 Auburn Road, YAGOONA NSW 2199",YAGOONA,2,2,1,Apartment / Unit / Flat,https://www.domain.com.au/34-203-auburn-road-yagoona-nsw-2199-2020117196,
Just Listed! Contact Agent,"14 St Charbel Way, PUNCHBOWL NSW 2196",PUNCHBOWL,3,2,2,Duplex,https://www.domain.com.au/14-st-charbel-way-punchbowl-nsw-2196-2020115928,
"For Sale $739,000 - $810,000","42/68 Davies Road, PADSTOW NSW 2211",PADSTOW,3,2,2,Apartment / Unit / Flat,https://www.domain.com.au/42-68-davies-road-padstow-nsw-2211-2020115357,739000.0
Auction,"7 Barkl Avenue, PADSTOW NSW 2211",PADSTOW,4,2,0,House,https://www.domain.com.au/7-barkl-avenue-padstow-nsw-2211-2020113974,
Auction,"49 Ashby Avenue, YAGOONA NSW 2199",YAGOONA,3,1,2,House,https://www.domain.com.au/49-ashby-avenue-yagoona-nsw-2199-2020115303,
Auction,"9A Baldwin Street, PADSTOW NSW 2211",PADSTOW,4,2,4,House,https://www.domain.com.au/9a-baldwin-street-padstow-nsw-2211-2020113540,
"Auction guide $1,150,000","43 Carrington Street, REVESBY NSW 2212",REVESBY,4,3,2,Semi-detached,https://www.domain.com.au/43-carrington-street-revesby-nsw-2212-2020106234,1150000.0
